084A7954,45,16,2,1,,,,
00000000,084A84B8,084AD2A0,084A85D8,084A8A68,084A8D70,00000000,00000000,084AD21C
184A7848,884A7954,A84A79D8,084A8758,00000000,00000000,00000000,00000000,00000000
0849FF9C,00000000,084A9650,084A8650,084A85D8,084A8E0C,084A9A50,00000000,00000000
084AD180,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A8548,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ACFA0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
