084A8650,39,13,3,2,,,,
00000000,084A8650,084AD2A0,184A85D8,084A8A68,084A8D70,00000000,00000000,084AD21C
084A86D4,884A8650,80000000,884A8758,00000000,00000000,00000000,00000000,00000000
084A9E10,884A8D70,884A8A68,884AA248,084AE884,084A8E0C,084A9A50,00000000,00000000
084AD180,284A86D4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ACFA0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
