084A6998,43,24,2,1,,,,
00000000,084A6B48,184A6A34,084A6AB8,084A8AEC,084A6BCC,084ACEF0,00000000,00000000
284A6920,884A6998,884A8E0C,084A6CEC,084A89A8,084A8B6C,084A6C5C,00000000,00000000
084A890C,084A6A34,084A97E8,084A6A34,084ACB10,084A6998,084AB42C,084ACE60,00000000
084A79D8,084A6AB8,084A9884,00000000,084A8CE0,00000000,00000000,00000000,00000000
084AB2F0,00000000,084A99B8,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
