084A6B48,40,20,1,2,,,,
00000000,00000000,084A8758,084A97E8,084A8AEC,084AB390,084ACEF0,00000000,00000000
084A6DF8,884A6B48,284A8E0C,084A6CEC,084A89A8,084A8B6C,00000000,00000000,00000000
084A890C,884A6A34,084A97E8,084A9884,084ACB10,084A8EF4,084AB42C,084ACE60,00000000
084A79D8,184A6AB8,084A9884,00000000,084A8CE0,00000000,00000000,00000000,00000000
084AB2F0,00000000,084A99B8,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
