084AD718,17,28,1,1,,,,
00000000,00000000,00000000,084A0218,00000000,00000000,084AE7DC,00000000,00000000
184AC968,884AD718,00000000,084AE54C,084AFD8C,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,084AEC14,00000000,00000000,084AE758,00000000
084AE4C8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
