084A3120,45,27,2,3,,,,
00000000,084A7260,084A306C,084A7374,084A78D0,084A7B48,084AA248,00000000,00000000
284A3324,884A3120,80000000,084A342C,084A342C,00000000,00000000,00000000,00000000
084A3564,80000000,80000000,384A3AF4,00000000,00000000,00000000,00000000,00000000
484A3C38,80000000,80000000,00000000,00000000,00000000,00000000,00000000,00000000
084A339C,184A306C,084AB390,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A72F0,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
