084AB040,48,15,1,5,,,,
00000000,084AB8A4,084AEC14,084ACA04,00000000,00000000,084ABC04,00000000,00000000
084AB804,884AB040,284AB0C4,084ABAD8,00000000,084AE54C,00000000,00000000,00000000
084AB040,884AB1E0,384AB1E0,084ABC04,084AD354,00000000,00000000,00000000,00000000
184A8BF0,80000000,484AB270,00000000,00000000,00000000,00000000,00000000,00000000
084ABD00,80000000,584AB390,00000000,00000000,00000000,00000000,00000000,00000000
00000000,80000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084ABD70,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ABC94,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
