08499D70,5,-1,
08499F98,2,-1,
0849A034,2,-1,
0849A0B8,2,-1,
0849A22C,2,-1,
0849B2B8,2,-1,
0849B33C,2,-1,
0849B450,2,-1,
0849B4C8,2,-1,
0849B558,2,-1,
0849C1C8,1,1,
0849C270,1,1,
0849C2E8,1,1,
0849C354,1,1,
0849C404,2,-1,
0849C488,2,-1,
0849C524,2,-1,
0849C5A8,2,-1,
0849CEFC,2,-1,
0849CFBC,2,-1,
0849D040,2,-1,
0849D0DC,2,-1,
0849D160,2,-1,
0849D1E4,2,-1,
0849D28C,5,-1,
0849D388,2,-1,
0849D400,2,-1,
0849D484,2,-1,
0849D508,2,-1,
0849D5A4,5,-1,
0849D634,2,-1,
0849D6C8,1,1,
0849D758,1,1,
0849D7F4,1,1,
0849E264,2,-1,
0849E310,1,1,
0849E37C,1,1,
0849E40C,1,1,
0849E484,1,1,
0849E738,2,-1,
0849E7BC,0,-1,
