084A9D74,54,14,1,4,,,,
00000000,084A9EA4,084AEC14,084ACA04,00000000,00000000,084AA248,00000000,00000000
084A9D74,884A9D74,384AA098,084AA128,00000000,084AE54C,00000000,00000000,00000000
084AA1AC,884AB1E0,484AA43C,084ABC04,084AD354,00000000,00000000,00000000,00000000
084AA098,80000000,284A9E10,00000000,00000000,00000000,00000000,00000000,00000000
184A991C,80000000,084AB390,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
