0849A350,10,23,5,1,,,,
00000000,2849A22C,0849C270,0849D28C,0849E508,0849E264,0849D28C,00000000,00000000
18499EFC,8849A350,80000000,80000000,80000000,80000000,4849E7BC,00000000,00000000
0849C010,00000000,0849C1C8,3849A410,084A4880,084A6998,0849E858,00000000,00000000
0849A5E4,0849C638,0849A488,0849F28C,084A8CE0,00000000,00000000,00000000,00000000
084AB2F0,00000000,084A99B8,00000000,00000000,00000000,00000000,00000000,00000000
0849A4F8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084A2228,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
