084AD354,31,21,3,1,,,,
00000000,084AE600,084AD354,284AD47C,00000000,084AE600,00000000,00000000,084AEAF4
484AD800,884AD354,80000000,80000000,184AD2A0,00000000,00000000,00000000,00000000
084AE9BC,384AD504,084A45B0,084AF0F4,084AE884,084AE920,00000000,00000000,00000000
084AEA4C,00000000,084AEAF4,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,084AD618,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AE884,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
