0849F504,32,14,2,6,,,,
00000000,0849FD74,1849F454,084A2FA4,084A4700,084A6BCC,084ACEF0,00000000,00000000
4849F774,8849F504,80000000,3849F61C,00000000,00000000,00000000,00000000,00000000
0849B2B8,80000000,8849F504,084A84B8,084A4880,084A6998,00000000,00000000,00000000
2849F588,884A0BEC,884A0420,0849FF9C,084A8CE0,00000000,00000000,00000000,00000000
084AB2F0,884A0AC4,884A99B8,00000000,00000000,00000000,00000000,00000000,00000000
00000000,80000000,80000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,80000000,80000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,584AD47C,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
