084A2054,12,33,2,1,,,,
00000000,084A2534,0849A410,084A2FA4,084A4700,084A6BCC,084ACEF0,00000000,00000000
084A22B8,884A2054,884A2054,184A1FC0,084A3940,00000000,00000000,00000000,00000000
084A2228,084A25BC,084A1FC0,084A22B8,084A4880,084A6998,00000000,00000000,00000000
084A689C,00000000,084A9884,00000000,084A8CE0,00000000,00000000,00000000,00000000
084AB2F0,00000000,084A99B8,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
