084A7AD0,1,-1,
084A7B48,1,-1,
084A7BCC,1,-1,
084A87D8,1,-1,
084A8880,1,-1,
084A9A50,1,-1,
084A9AC8,1,-1,
084A9B40,1,-1,
084A9BB8,1,-1,
084A9C3C,1,-1,
084A9CCC,1,-1,
084A9D74,1,-1,
084A9E10,1,-1,
084A9FD8,1,-1,
084AA098,1,-1,
084AA128,1,-1,
084AA1AC,1,-1,
084AA248,1,-1,
084AA2E4,1,-1,
084AA35C,1,-1,
084AA53C,1,-1,
084AB040,1,-1,
084AB0C4,1,-1,
084AB130,1,-1,
084AB8A4,1,-1,
084AB94C,1,-1,
084AB9D0,1,-1,
084ABA54,1,-1,
084ABAD8,1,-1,
084ABB74,1,-1,
084ABC04,1,-1,
084ABC94,1,-1,
084ABD00,1,-1,
084ABED4,1,-1,
084ACA80,1,-1,
084ACB10,1,-1,
084ACB7C,1,-1,
084AD47C,1,-1,
084AD800,1,-1,
084AE124,1,-1,
084AE190,1,-1,
084AE214,1,-1,
084AE2B0,1,-1,
084AE600,3,1,
084AE9BC,-1,1,
084AEA4C,-1,1,
084AEAF4,-1,1,
