0849A410,12,24,1,7,,,,
00000000,1849A350,0849C270,0849D28C,0849E508,0849E264,0849D28C,00000000,00000000
0849A410,8849A410,0849A410,00000000,00000000,00000000,00000000,00000000,00000000
0849C010,80000000,0849C1C8,0849E858,084A4880,084A6998,0849E858,00000000,00000000
4849A5E4,8849C638,2849A488,0849F28C,084A8CE0,00000000,00000000,00000000,00000000
084AB2F0,80000000,084A99B8,00000000,00000000,00000000,00000000,00000000,00000000
3849A4F8,80000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,80000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,80000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,584A2228,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
