084AE444,18,28,1,1,,,,
00000000,00000000,00000000,084A0218,00000000,00000000,084AE7DC,00000000,00000000
084AE444,884AE444,184AE4C8,084AE54C,084AFD8C,00000000,00000000,00000000,00000000
00000000,084AE698,00000000,00000000,084AEC14,00000000,00000000,084AE758,00000000
084AE4C8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
