0849C488,24,15,4,3,,,,
00000000,0849C404,0849D5A4,0849E310,0849D040,0849D1E4,0849E310,00000000,084AD21C
0849C488,8849C488,80000000,8849E0D4,884A029C,0849CEFC,0849D508,00000000,084A0B48
0849C754,8849D28C,8849C6D0,8849D388,8849D634,2849C524,0849D7F4,00000000,00000000
1849C404,80000000,8849D400,80000000,80000000,00000000,00000000,00000000,00000000
084A4D08,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A8548,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
