084A4B94,48,27,2,1,,,,
00000000,084A4FCC,084A5F38,084A4880,084A8A68,084A60D0,00000000,00000000,084AD21C
284A4C00,884A4B94,884A4B94,184A4AD4,084A514C,00000000,084A6160,00000000,00000000
084A4EDC,084A5044,084A50C8,084A53C4,084A5D04,00000000,084A9A50,00000000,00000000
084A5D88,084A5FC8,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A8548,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ACFA0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
