0849F024,30,5,3,2,,,,
00000000,0849FD74,0849F454,084A2FA4,084A4700,084A6BCC,084ACEF0,00000000,00000000
0849F0A8,8849F024,8849F1D8,8849F61C,00000000,00000000,00000000,00000000,00000000
0849B2B8,80000000,8849F138,884A84B8,084A4880,084A6998,00000000,00000000,00000000
0849F588,084A0BEC,0849F704,1849F28C,084A8CE0,00000000,00000000,00000000,00000000
084AB2F0,084A0AC4,084A99B8,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AD47C,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
