084A5F38,1,-1,
084A5FC8,1,-1,
084A604C,1,-1,
084A60D0,1,-1,
084A6160,1,-1,
084A62F8,1,-1,
084A78D0,1,-1,
084A7954,1,-1,
084A79D8,1,-1,
084A7A44,1,-1,
084A7C48,1,-1,
084A84B8,1,-1,
084A8548,1,-1,
084A85D8,1,-1,
084A8650,1,-1,
084A86D4,1,-1,
084A8758,1,-1,
084A8B6C,1,-1,
084A8BF0,1,-1,
084A8C5C,1,-1,
084A8CE0,1,-1,
084A8D70,1,-1,
084A8E0C,1,-1,
084A8E78,1,-1,
084A991C,1,-1,
084A99B8,1,-1,
084A9EA4,1,-1,
084A9F4C,1,-1,
084AA3CC,1,-1,
084AB2F0,1,-1,
084ABD70,1,-1,
084ACFA0,1,-1,
084AD054,1,-1,
084AD0F0,1,-1,
084AD180,1,-1,
