084A7260,34,7,4,4,,,,
00000000,084A7260,084A7518,084A7374,084A78D0,084A7B48,084AA248,00000000,00000000
084A7494,884A7260,884A7644,884A7518,884A7788,084A7954,00000000,00000000,00000000
1849F28C,884A7B48,884A7848,884A7404,884A7374,084A7CC4,00000000,00000000,00000000
084A6288,884A7494,80000000,80000000,884A7AD0,00000000,00000000,00000000,00000000
084A991C,80000000,884AB390,80000000,80000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,284A72F0,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
