084A9884,49,17,3,1,,,,
00000000,084AB390,084AB130,284A97E8,00000000,084AB390,084ACEF0,00000000,00000000
184A9650,884A9884,80000000,884AB6D8,384A991C,084ACC98,00000000,00000000,00000000
084AB63C,00000000,00000000,084AB270,084ACB10,00000000,084AB42C,084ACE60,00000000
084A6D88,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084AB2F0,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
