084A2E80,39,27,1,2,,,,
00000000,084A7260,084A306C,084A7374,084A3120,084A7B48,084AA248,00000000,00000000
084A3324,884A2E80,00000000,084A342C,084A342C,00000000,00000000,084A339C,00000000
084A2E80,884A34BC,284A2F04,084A3AF4,00000000,00000000,00000000,00000000,00000000
084A3C38,184A2E08,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084A339C,084A306C,084AB390,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A72F0,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
