084A4930,42,30,6,1,,,,
00000000,084A4FCC,084A5F38,084A4880,184A49FC,084A60D0,00000000,00000000,084AD21C
084A4C7C,884A4930,80000000,884A4AD4,884A514C,80000000,884A6160,284A4D08,00000000
084A4EDC,384A4E38,084A50C8,084A5254,084A5D04,00000000,084A9A50,00000000,00000000
084A534C,084A5FC8,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084A4D08,084A4930,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A8548,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ACFA0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
