0849D634,18,23,2,1,,,,
00000000,0849E310,1849D5A4,0849E310,084A2E08,084A0AC4,0849E310,00000000,084AD21C
2849D6C8,8849D634,80000000,3849D864,00000000,084A1E10,00000000,00000000,084A0B48
084A0CF4,00000000,084A3848,0849E37C,084A5D04,00000000,00000000,00000000,00000000
084A534C,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084A4D08,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A8548,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ACFA0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
