084A7590,35,16,2,1,,,,
00000000,084A7AD0,084A7518,084ACA04,084A78D0,084A7B48,084AA248,00000000,00000000
084A7590,884A7590,984A7644,084A7788,084A7788,084A7954,00000000,00000000,00000000
084A76EC,084A7B48,00000000,084ABC04,084AD354,084A7CC4,00000000,00000000,00000000
084A6288,00000000,00000000,00000000,084A7AD0,00000000,00000000,00000000,00000000
084A991C,00000000,084AB390,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
