0849E508,25,21,2,1,,,,
00000000,0849FD74,0849F454,084A2FA4,084A4700,084A6BCC,084ACEF0,00000000,00000000
2849E484,8849E508,80000000,00000000,00000000,00000000,00000000,00000000,00000000
0849B2B8,00000000,1849E310,0849E858,084A4880,084A6998,00000000,00000000,00000000
0849F588,00000000,0849F704,0849F28C,084A8CE0,00000000,00000000,00000000,00000000
084AB2F0,084A0AC4,084A99B8,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AD47C,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
