084AE884,27,28,8,1,,,,
00000000,184AE758,084AEB6C,084AED44,00000000,00000000,00000000,00000000,384AEAF4
084A1B1C,884AE884,80000000,884AE920,884AE920,80000000,80000000,80000000,80000000
084AE9BC,084AEDCC,084A45B0,00000000,00000000,284AE920,00000000,00000000,00000000
084AEA4C,00000000,084AEAF4,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AE884,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
