084A22B8,13,31,1,2,,,,
00000000,084A689C,084A4778,084A2FA4,084A4700,084A6BCC,084ACEF0,00000000,00000000
084A22B8,884A22B8,284A233C,084A23C0,084A3940,00000000,00000000,00000000,00000000
184A2228,884A212C,084A1FC0,084A6A34,084A4880,084A6998,00000000,00000000,00000000
084A689C,00000000,084A9884,00000000,084A8CE0,00000000,00000000,00000000,00000000
084AB2F0,00000000,084A99B8,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
