084A3324,44,27,1,1,,,,
00000000,084A7260,084A306C,084A7374,084A78D0,084A7B48,084AA248,00000000,00000000
084A306C,884A3324,184A3120,084A342C,084A342C,00000000,00000000,00000000,00000000
084A3564,00000000,00000000,084A3CB0,00000000,00000000,00000000,00000000,00000000
084A6288,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084A991C,00000000,084AB390,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A72F0,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
