0849D508,21,22,2,2,,,,
00000000,0849E310,0849D5A4,0849E310,084A2E08,084A0AC4,0849E310,00000000,084AD21C
1849D5A4,8849D508,80000000,0849D864,00000000,084A1E10,0849D508,00000000,084A0B48
084A0CF4,80000000,884A3848,2849D7F4,0849D634,00000000,00000000,00000000,00000000
084A534C,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084A4D08,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A8548,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ACFA0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
