084A11F4,14,31,2,1,,,,
00000000,084A2198,084A2E80,084A7374,084A3120,084A7B48,084AA248,00000000,00000000
284A1170,884A11F4,884A12F0,384A1278,084A342C,084A2D54,00000000,084A3C38,00000000
084A2CB8,084A0FE4,184A0E8C,084A3AF4,084A2FA4,00000000,00000000,00000000,00000000
084A3C38,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084A339C,084A306C,084AB390,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A72F0,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
