084AE190,15,28,1,1,,,,
00000000,084AE124,084AEC14,00000000,00000000,00000000,00000000,00000000,00000000
084AE190,884AE190,184AE214,00000000,00000000,084AE54C,00000000,00000000,00000000
00000000,00000000,00000000,00000000,084AE3C8,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,084AEF58,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
