084A0168,31,13,6,1,,,,
00000000,184A00D8,08499418,084A7374,084A3120,084A7B48,084AA248,00000000,00000000
0849FDF8,884A0168,80000000,80000000,884A342C,884A0CF4,80000000,084A3C38,00000000
084A10E0,084A148C,084A0E8C,284A0218,084A2FA4,00000000,00000000,00000000,00000000
084A3C38,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084A339C,084A306C,084AB390,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A72F0,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
