084A5F38,40,23,5,1,,,,
00000000,084A604C,084AD2A0,184A5FC8,084A8A68,484A60D0,00000000,00000000,084AD21C
084A62F8,884A5F38,884A7BCC,884A6204,80000000,80000000,284A6160,00000000,00000000
0849FF9C,084A5F38,084A9650,084A5F38,084A85D8,384A5E90,084A9A50,00000000,00000000
084AD180,084A5FC8,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A8548,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ACFA0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
