084A0218,32,14,2,6,,,,
00000000,084A0A1C,184A0168,084A2FA4,084A4700,084A6BCC,084ACEF0,00000000,00000000
484A0490,884A0218,80000000,384A0338,00000000,00000000,00000000,00000000,00000000
0849C524,80000000,884A0218,084A22B8,084A4880,084A6998,00000000,00000000,00000000
284A029C,884A0BEC,884A9884,00000000,084A8CE0,00000000,00000000,00000000,00000000
084AB2F0,884A0AC4,884A99B8,00000000,00000000,00000000,00000000,00000000,00000000
00000000,80000000,80000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,80000000,80000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,584AED44,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
