084AE600,22,26,7,1,,,,
00000000,00000000,00000000,084A0218,00000000,00000000,484AE7DC,00000000,00000000
184AE54C,884AE600,80000000,80000000,884AFD8C,80000000,80000000,80000000,00000000
00000000,284AE698,00000000,00000000,084AEC14,00000000,00000000,384AE758,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
