084A3B98,37,32,1,1,,,,
00000000,084A4FCC,084A5F38,084A4880,084A49FC,084A60D0,00000000,00000000,084AD21C
084A4C7C,884A3B98,184A3A28,084A4AD4,084A514C,00000000,084A6160,084A4D08,00000000
084A4EDC,00000000,084A50C8,084A5254,084A5D04,00000000,00000000,00000000,00000000
084A534C,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084A4D08,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A8548,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ACFA0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
