084A9E10,55,16,1,4,,,,
00000000,084A9EA4,084AEC14,084ACA04,00000000,00000000,084AA248,00000000,00000000
184A9D74,884A9E10,384A9F4C,084AA128,00000000,084AE54C,00000000,00000000,00000000
084AA1AC,884AB1E0,084AB1E0,084ABC04,084AD354,00000000,00000000,00000000,00000000
084AA098,80000000,284A9EA4,00000000,00000000,00000000,00000000,00000000,00000000
084AA35C,80000000,084AB390,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
