0849E858,23,23,6,1,,,,
00000000,2849E310,084A11F4,3849E310,084A2E08,084A0AC4,4849E310,00000000,084AD21C
1849E598,8849E858,80000000,884A0AC4,80000000,884A1E10,80000000,00000000,084A0B48
084A0CF4,00000000,084A3848,084A0C70,084A5D04,00000000,00000000,00000000,00000000
084A534C,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084A4D08,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A8548,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ACFA0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
