0849B224,24,15,4,3,,,,
00000000,0849F024,0849E638,084A7374,0849E0D4,084A7B48,084AA248,00000000,00000000
0849AF60,8849B224,80000000,80000000,80000000,0849C6D0,00000000,00000000,00000000
0849C7D8,80000000,8849E044,8849E40C,8849C0CC,2849B2B8,00000000,00000000,00000000
1849B194,80000000,8849E484,8849F7EC,80000000,00000000,00000000,00000000,00000000
084A339C,00000000,084AB390,00000000,00000000,00000000,00000000,00000000,00000000
00000000,0849F454,00000000,084A72F0,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
