084A7848,41,16,4,2,,,,
00000000,084A7AD0,184A7518,084ACA04,384A78D0,084A7B48,084AA248,00000000,00000000
284A7788,884A7848,80000000,80000000,80000000,484A7954,00000000,00000000,00000000
084A9C3C,884A7B48,80000000,884ABC04,884AD354,684A7CC4,00000000,00000000,00000000
084A6288,00000000,00000000,00000000,584A7AD0,00000000,00000000,00000000,00000000
084A991C,00000000,084AB390,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
