084A0038,29,8,3,1,,,,
00000000,084A0A1C,084A0168,084A2FA4,084A4700,084A6BCC,084ACEF0,00000000,00000000
284A0420,884A0038,80000000,884A0338,00000000,00000000,00000000,00000000,00000000
0849C524,00000000,084A0218,184A00D8,084A4880,084A6998,00000000,00000000,00000000
084A029C,084A0BEC,084A9884,00000000,084A8CE0,00000000,00000000,00000000,00000000
084AB2F0,084A0AC4,084A99B8,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AED44,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
