084A53C4,44,33,1,1,,,,
00000000,084A7260,084A7518,084A7374,084A78D0,084A7B48,084AA248,00000000,00000000
184A4EDC,884A53C4,00000000,084A9CCC,00000000,00000000,00000000,00000000,00000000
0849F28C,00000000,00000000,084A7404,00000000,00000000,00000000,00000000,00000000
084A6288,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084A991C,00000000,084AB390,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A72F0,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
