0849A034,7,17,3,1,,,,
00000000,0849B194,2849A0B8,0849E310,0849D040,0849D1E4,0849E310,00000000,084AD21C
3849A568,8849A034,8849A0B8,8849A298,4849BE98,0849B450,0849D508,00000000,084A0B48
0849A1A8,18499F98,0849B450,0849A034,0849D634,00000000,0849D7F4,00000000,00000000
0849C404,00000000,0849D400,00000000,00000000,00000000,00000000,00000000,00000000
084A4D08,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A8548,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
