084A3564,42,32,2,2,,,,
00000000,084A7260,084A7518,084A7374,084A78D0,084A7B48,084AA248,00000000,00000000
084A4700,884A3564,884A3564,184A342C,00000000,00000000,00000000,00000000,00000000
284A35DC,80000000,80000000,384A3CB0,00000000,00000000,00000000,00000000,00000000
084A6288,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084A991C,00000000,084AB390,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A72F0,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
