084A6A34,40,23,5,1,,,,
00000000,084A6B48,084A8758,184A6AB8,084A8AEC,484A6BCC,084ACEF0,00000000,00000000
084A6DF8,884A6A34,884A8E0C,884A6CEC,884A89A8,884A8B6C,284A6C5C,00000000,00000000
084A890C,084A6A34,084A97E8,084A6A34,084ACB10,384A6998,084AB42C,084ACE60,00000000
084A79D8,084A6AB8,084A9884,00000000,084A8CE0,00000000,00000000,00000000,00000000
084AB2F0,00000000,084A99B8,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
