0849E164,20,19,2,2,,,,
00000000,0849F024,0849E638,084A7374,084A3120,084A7B48,084AA248,00000000,00000000
0849E738,8849E164,80000000,1849E044,084A342C,00000000,0849E598,084A3C38,00000000
3849E1DC,80000000,884A0E8C,2849E044,0849E6BC,00000000,00000000,00000000,00000000
084A3C38,00000000,00000000,0849F7EC,00000000,00000000,00000000,00000000,00000000
084A339C,00000000,084AB390,00000000,00000000,00000000,00000000,00000000,00000000
00000000,0849F454,00000000,084A72F0,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
