08498F84,7,18,2,4,,,,
00000000,2849902C,084990B8,0849A6E4,08499DF4,0849D1E4,0849E310,00000000,084AD21C
08499570,88498F84,80000000,00000000,0849AC0C,00000000,0849D508,08499EFC,00000000
0849A1A8,88498F84,8849B450,08498EE0,0849D634,00000000,0849D7F4,00000000,00000000
0849C404,80000000,8849D400,00000000,00000000,00000000,00000000,00000000,00000000
084A4D08,88499D70,80000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,184996EC,00000000,084A8548,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
