084A2228,11,31,2,2,,,,
00000000,084A689C,1849A410,084A2FA4,084A4700,084A6BCC,084ACEF0,00000000,00000000
084A22B8,884A2228,884A233C,084A23C0,084A3940,00000000,00000000,00000000,00000000
084A2228,884A212C,884A1FC0,284A22B8,084A4880,084A6998,00000000,00000000,00000000
084A689C,00000000,084A9884,00000000,084A8CE0,00000000,00000000,00000000,00000000
084AB2F0,00000000,084A99B8,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
