084AE124,15,26,2,2,,,,
00000000,084AE124,084AEC14,00000000,00000000,00000000,00000000,00000000,00000000
084AE190,884AE124,884AE214,284AE2B0,00000000,084AE54C,00000000,00000000,00000000
00000000,80000000,80000000,00000000,084AE3C8,00000000,00000000,00000000,00000000
00000000,00000000,184AE214,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,084AEF58,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
