084A2438,17,31,1,1,,,,
00000000,084A689C,084A4778,084A2FA4,084A4700,084A6BCC,084ACEF0,00000000,00000000
184A23C0,884A2438,284A24BC,084A3198,084A3940,00000000,00000000,00000000,00000000
084A45B0,084A212C,084A47FC,084A6A34,084A4880,084A6998,00000000,00000000,00000000
084A689C,00000000,084A9884,00000000,084A8CE0,00000000,00000000,00000000,00000000
084AB2F0,00000000,084A99B8,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
