084A8548,36,11,4,1,,,,
00000000,184A84B8,084AD2A0,084A85D8,084A8A68,084A8D70,00000000,00000000,084AD21C
084A86D4,884A8548,80000000,884A8758,80000000,00000000,00000000,00000000,00000000
084A9E10,084A8D70,084A8A68,084A8650,284A85D8,084A8E0C,084A9A50,00000000,00000000
084AD180,084A86D4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ACFA0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
