084AD790,24,28,1,1,,,,
00000000,00000000,00000000,084A0218,00000000,00000000,084AE7DC,00000000,00000000
184ACDC4,884AD790,00000000,084AE54C,084AFD8C,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,084AEC14,00000000,00000000,084AE758,00000000
084AE4C8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
