084A3760,36,32,1,2,,,,
00000000,184A368C,084A5F38,084A4880,084A49FC,084A60D0,00000000,00000000,084AD21C
084A3A28,884A3760,00000000,084A4AD4,084A514C,00000000,084A6160,084A4D08,00000000
084A3848,80000000,284A3848,084A5254,084A5D04,00000000,00000000,00000000,00000000
084A534C,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084A4D08,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A8548,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ACFA0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
