084A890C,36,17,3,1,,,,
00000000,084AB390,084A8758,084A97E8,084A8AEC,084AB390,084ACEF0,00000000,00000000
284A8E78,884A890C,80000000,884A8A68,184A89A8,084A8B6C,00000000,00000000,00000000
084A890C,084A97E8,084A97E8,084A9884,084ACB10,084A8EF4,084AB42C,084ACE60,00000000
084A79D8,00000000,084A9884,00000000,084A8CE0,00000000,00000000,00000000,00000000
084AB2F0,084A8A68,084A99B8,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
