00000000,00000000,00000000,084AED44,00000000,00000000,00000000,00000000,00000000
084AF164,884AEB6C,80000000,00000000,084AEB6C,00000000,00000000,00000000,00000000
284AEC14,884AEDCC,80000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,184AEAF4,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
