00000000,00000000,00000000,084A0218,00000000,00000000,084AE7DC,00000000,00000000
184AE2B0,884AE54C,384AE600,00000000,084AFD8C,00000000,00000000,00000000,00000000
00000000,884AE698,00000000,00000000,084AEC14,00000000,00000000,084AE758,00000000
284AE4C8,80000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
