00000000,00000000,184AEC14,00000000,00000000,00000000,00000000,00000000,00000000
00000000,884AEDCC,80000000,80000000,00000000,00000000,00000000,00000000,00000000
00000000,80000000,80000000,80000000,00000000,00000000,00000000,00000000,00000000
00000000,80000000,80000000,80000000,00000000,00000000,00000000,00000000,00000000
00000000,80000000,A84AEF58,80000000,00000000,00000000,00000000,00000000,00000000
00000000,80000000,80000000,80000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
